trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,votes_for,votes_total,gross_pnl,fee_usd,net_pnl
125,LONG,2025-10-29 01:00:00+00:00,2025-10-29 20:00:00+00:00,3979.43,3947.86,0.502585,REVERSE_SIGNAL,3,3,-15.8666,1.3944,-17.261
126,SHORT,2025-10-29 20:00:00+00:00,2025-10-30 19:00:00+00:00,3947.86,4009.21,0.506604,REVERSE_SIGNAL,3,3,-31.0801,1.4109,-32.491
127,LONG,2025-10-30 19:00:00+00:00,2025-11-03 00:00:00+00:00,4009.21,3976.64,0.498851,REVERSE_SIGNAL,3,3,-16.2476,1.3943,-17.6419
128,SHORT,2025-11-03 00:00:00+00:00,2025-11-03 03:00:00+00:00,3976.64,3999.87,0.502937,REVERSE_SIGNAL,3,3,-11.6832,1.4041,-13.0873
129,LONG,2025-11-03 03:00:00+00:00,2025-11-04 06:00:00+00:00,3999.87,3965.07,0.500016,REVERSE_SIGNAL,2,3,-17.4006,1.3939,-18.7945
130,SHORT,2025-11-04 06:00:00+00:00,2025-11-05 17:00:00+00:00,3965.07,3980.43,0.504405,REVERSE_SIGNAL,3,3,-7.7477,1.4027,-9.1504
131,LONG,2025-11-05 17:00:00+00:00,2025-11-06 16:00:00+00:00,3980.43,3972.5,0.502458,REVERSE_SIGNAL,3,3,-3.9845,1.3986,-5.3831
132,SHORT,2025-11-06 16:00:00+00:00,2025-11-10 00:00:00+00:00,3972.5,4003.24,0.503461,REVERSE_SIGNAL,2,3,-15.4764,1.4054,-16.8818
133,LONG,2025-11-10 00:00:00+00:00,2025-11-11 16:00:00+00:00,4003.24,4093.66,0.499595,REVERSE_SIGNAL,3,3,45.1734,1.4158,43.7576
134,SHORT,2025-11-11 16:00:00+00:00,2025-11-12 16:00:00+00:00,4093.66,4169.39,0.48856,REVERSE_SIGNAL,3,3,-36.9987,1.4129,-38.4116
135,LONG,2025-11-12 16:00:00+00:00,2025-11-13 19:00:00+00:00,4169.39,4143.78,0.479686,REVERSE_SIGNAL,3,3,-12.2848,1.3957,-13.6805
136,SHORT,2025-11-13 19:00:00+00:00,2025-11-16 03:00:00+00:00,4143.78,4106.27,0.482651,REVERSE_SIGNAL,3,3,18.1042,1.3937,16.7106
137,LONG,2025-11-16 03:00:00+00:00,2025-11-17 01:00:00+00:00,4106.27,4076.72,0.48706,REVERSE_SIGNAL,3,3,-14.3926,1.395,-15.7876
138,SHORT,2025-11-17 01:00:00+00:00,2025-11-18 18:00:00+00:00,4076.72,4061.8,0.49059,REVERSE_SIGNAL,3,3,7.3196,1.3974,5.9222
139,LONG,2025-11-18 18:00:00+00:00,2025-11-19 20:00:00+00:00,4061.8,4062.6,0.492393,REVERSE_SIGNAL,3,3,0.3939,1.4001,-1.0062
140,SHORT,2025-11-19 20:00:00+00:00,2025-11-21 17:00:00+00:00,4062.6,4097.44,0.492296,REVERSE_SIGNAL,3,3,-17.1516,1.406,-18.5576
141,LONG,2025-11-21 17:00:00+00:00,2025-11-23 15:00:00+00:00,4097.44,4041.01,0.48811,REVERSE_SIGNAL,3,3,-27.544,1.3904,-28.9344
142,SHORT,2025-11-23 15:00:00+00:00,2025-11-24 12:00:00+00:00,4041.01,4063.65,0.494926,REVERSE_SIGNAL,3,3,-11.2051,1.4039,-12.609
143,LONG,2025-11-24 12:00:00+00:00,2025-12-02 04:00:00+00:00,4063.65,4228.76,0.492168,REVERSE_SIGNAL,3,3,81.2619,1.4284,79.8335
144,SHORT,2025-12-02 04:00:00+00:00,2025-12-03 14:00:00+00:00,4228.76,4241.0,0.472952,REVERSE_SIGNAL,3,3,-5.7889,1.402,-7.191
145,LONG,2025-12-03 14:00:00+00:00,2025-12-04 06:00:00+00:00,4241.0,4185.79,0.471587,REVERSE_SIGNAL,3,3,-26.0363,1.3909,-27.4272
146,SHORT,2025-12-04 06:00:00+00:00,2025-12-05 06:00:00+00:00,4185.79,4225.56,0.477807,REVERSE_SIGNAL,3,3,-19.0024,1.4067,-20.409
147,LONG,2025-12-05 06:00:00+00:00,2025-12-05 19:00:00+00:00,4225.56,4215.85,0.47331,REVERSE_SIGNAL,3,3,-4.5958,1.3984,-5.9942
148,SHORT,2025-12-05 19:00:00+00:00,2025-12-08 00:00:00+00:00,4215.85,4212.25,0.4744,REVERSE_SIGNAL,3,3,1.7078,1.3994,0.3084
149,LONG,2025-12-08 00:00:00+00:00,2025-12-08 15:00:00+00:00,4212.25,4204.83,0.474806,REVERSE_SIGNAL,2,3,-3.5231,1.3988,-4.9218
150,SHORT,2025-12-08 15:00:00+00:00,2025-12-09 16:00:00+00:00,4204.83,4214.84,0.475643,REVERSE_SIGNAL,2,3,-4.7612,1.4017,-6.1629
151,LONG,2025-12-09 16:00:00+00:00,2025-12-12 16:00:00+00:00,4214.84,4300.83,0.474514,REVERSE_SIGNAL,3,3,40.8034,1.4143,39.3892
152,LONG,2025-12-15 02:00:00+00:00,2025-12-15 16:00:00+00:00,4334.41,4331.07,0.461424,REVERSE_SIGNAL,3,3,-1.5412,1.3995,-2.9406
153,SHORT,2025-12-15 16:00:00+00:00,2025-12-16 14:00:00+00:00,4331.07,4323.41,0.46178,REVERSE_SIGNAL,2,3,3.5372,1.3988,2.1385
154,LONG,2025-12-16 14:00:00+00:00,2025-12-23 15:00:00+00:00,4323.41,4461.6,0.462598,REVERSE_SIGNAL,2,3,63.9264,1.4224,62.504
155,SHORT,2025-12-23 15:00:00+00:00,2025-12-23 21:00:00+00:00,4461.6,4512.71,0.44827,REVERSE_SIGNAL,2,3,-22.9111,1.408,-24.3191
156,LONG,2025-12-23 21:00:00+00:00,2025-12-24 15:00:00+00:00,4512.71,4480.05,0.443193,REVERSE_SIGNAL,3,3,-14.4747,1.3949,-15.8696
157,SHORT,2025-12-24 15:00:00+00:00,2025-12-26 00:00:00+00:00,4480.05,4514.34,0.446424,REVERSE_SIGNAL,3,3,-15.3079,1.4054,-16.7132
158,LONG,2025-12-26 00:00:00+00:00,2025-12-28 14:00:00+00:00,4514.34,4555.09,0.443033,REVERSE_SIGNAL,3,3,18.0536,1.4063,16.6473
159,SHORT,2025-12-28 14:00:00+00:00,2025-12-30 13:00:00+00:00,4555.09,4419.44,0.439069,REVERSE_SIGNAL,3,3,59.5597,1.3792,58.1806
160,LONG,2025-12-30 13:00:00+00:00,2025-12-31 05:00:00+00:00,4419.44,4349.14,0.452546,REVERSE_SIGNAL,3,3,-31.814,1.3889,-33.2029
161,SHORT,2025-12-31 05:00:00+00:00,2026-01-02 00:00:00+00:00,4349.14,4361.3,0.459861,REVERSE_SIGNAL,3,3,-5.5919,1.402,-6.9939
162,LONG,2026-01-02 00:00:00+00:00,2026-01-02 15:00:00+00:00,4361.3,4369.14,0.458579,REVERSE_SIGNAL,3,3,3.5953,1.4013,2.194
