signal_time,signal_side,hyper_turbo,alpha_1,alpha_2_nr,votes_for,votes_total,decision
2025-07-31 08:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-08-01 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-08-01 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-04 00:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-08-04 11:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-08-05 09:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-08-05 13:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-08-06 09:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-08-07 01:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-10 23:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-08-14 00:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-14 07:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-08-17 04:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-17 23:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-08-18 00:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-18 17:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-08-20 11:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-21 10:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-08-22 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-08-24 20:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-08-26 00:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-09-02 07:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-09-02 15:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-09-04 02:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-09-05 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-09-08 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-09-08 07:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-09-09 20:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-09-12 02:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-09-13 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-09-14 05:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-09-14 23:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-09-15 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-09-17 07:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-09-19 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-09-24 14:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-09-26 13:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-09-28 20:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-09-28 22:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-09-30 08:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-09-30 19:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-10-02 14:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-10-03 15:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-10-09 16:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-10-10 19:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-10-11 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-10-12 22:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-10-14 05:00:00+00:00,SHORT,SHORT,LONG,LONG,1,3,FLAT
2025-10-15 01:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-10-16 22:00:00+00:00,SHORT,LONG,LONG,LONG,0,3,FLAT
2025-10-16 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-10-17 16:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-10-20 03:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-10-21 07:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-10-24 15:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-10-26 22:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-10-29 00:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-10-29 19:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-10-30 18:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-11-02 23:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-11-03 02:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2025-11-04 05:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-11-05 16:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-11-06 15:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2025-11-09 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-11-11 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-11-12 15:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-11-13 18:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-11-16 02:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2025-11-17 00:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2025-11-18 17:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
