entry_time,exit_time,symbols,top_scores,beta,long_ret,btc_ret,gross,fee,net,turnover,hedge_turnover
2024-07-11 00:00,2024-07-11 04:00,USDCUSDT;BTCDOMUSDT;QNTUSDT;TURBOUSDT;TONUSDT;WIFUSDT;TRBUSDT;ATOMUSDT;ONDOUSDT;JASMYUSDT,"{""ATOMUSDT"": -0.2555, ""BTCDOMUSDT"": 4.3201, ""JASMYUSDT"": -2.5533, ""ONDOUSDT"": -1.4582, ""QNTUSDT"": 2.3019, ""TONUSDT"": 2.1178, ""TRBUSDT"": 0.9287, ""TURBOUSDT"": 2.2587, ""USDCUSDT"": 86.2528, ""WIFUSDT"": 1.8479}",1.154055,-0.00322814,-0.002887,1.0362,0.9377,0.0985,2000.0,626.5194
2024-07-11 04:00,2024-07-11 08:00,USDCUSDT;AVAXUSDT;TONUSDT;BTCDOMUSDT;WIFUSDT;QNTUSDT;TRBUSDT;ATOMUSDT;JASMYUSDT;ONDOUSDT,"{""ATOMUSDT"": -0.865, ""AVAXUSDT"": 2.8986, ""BTCDOMUSDT"": 2.2162, ""JASMYUSDT"": -1.4755, ""ONDOUSDT"": -2.0345, ""QNTUSDT"": 1.781, ""TONUSDT"": 2.7634, ""TRBUSDT"": 0.9179, ""USDCUSDT"": 13.8199, ""WIFUSDT"": 2.1363}",1.142841,0.01117755,0.01091059,-12.9153,0.754,-13.6693,2000.0,112.1415
2024-07-11 08:00,2024-07-11 12:00,USDCUSDT;TONUSDT;ZROUSDT;BTCDOMUSDT;AVAXUSDT;QNTUSDT;WIFUSDT;ATOMUSDT;ONDOUSDT;JASMYUSDT,"{""ATOMUSDT"": -1.3867, ""AVAXUSDT"": 1.8771, ""BTCDOMUSDT"": 2.9177, ""JASMYUSDT"": -1.8923, ""ONDOUSDT"": -1.7347, ""QNTUSDT"": 1.8671, ""TONUSDT"": 3.6963, ""USDCUSDT"": 6.1937, ""WIFUSDT"": 1.2376, ""ZROUSDT"": 3.3495}",1.211942,0.00748041,0.01007079,-47.2481,0.9607,-48.2087,2000.0,691.0086
2024-07-11 12:00,2024-07-11 16:00,USDCUSDT;TONUSDT;BTCDOMUSDT;EDUUSDT;AVAXUSDT;ZROUSDT;WIFUSDT;ATOMUSDT;JASMYUSDT;ONDOUSDT,"{""ATOMUSDT"": -0.5446, ""AVAXUSDT"": 2.6083, ""BTCDOMUSDT"": 3.6026, ""EDUUSDT"": 2.6304, ""JASMYUSDT"": -1.702, ""ONDOUSDT"": -1.9852, ""TONUSDT"": 3.8646, ""USDCUSDT"": 97.4653, ""WIFUSDT"": 0.6737, ""ZROUSDT"": 1.8222}",1.253385,-0.02368301,-0.02333799,55.6848,0.862,54.8229,2000.0,414.4349
2024-07-11 16:00,2024-07-11 20:00,TURBOUSDT;EDUUSDT;AVAXUSDT;WIFUSDT;ZROUSDT;ONDOUSDT;TONUSDT;JASMYUSDT;ATOMUSDT;BTCDOMUSDT,"{""ATOMUSDT"": -0.9904, ""AVAXUSDT"": 1.5568, ""BTCDOMUSDT"": -1.2687, ""EDUUSDT"": 2.3678, ""JASMYUSDT"": -0.5052, ""ONDOUSDT"": 0.6432, ""TONUSDT"": 0.456, ""TURBOUSDT"": 2.9884, ""WIFUSDT"": 1.3835, ""ZROUSDT"": 0.834}",1.376386,-0.00764013,-0.00048795,-69.6852,1.1531,-70.8383,2000.0,1230.0088
2024-07-11 20:00,2024-07-12 00:00,CRVUSDT;EDUUSDT;WIFUSDT;AVAXUSDT;ZROUSDT;ONDOUSDT;JASMYUSDT;TONUSDT;ATOMUSDT;BTCDOMUSDT,"{""ATOMUSDT"": -0.8984, ""AVAXUSDT"": 1.4247, ""BTCDOMUSDT"": -1.6127, ""CRVUSDT"": 4.1953, ""EDUUSDT"": 2.5552, ""JASMYUSDT"": -0.2609, ""ONDOUSDT"": 0.8251, ""TONUSDT"": -0.7493, ""WIFUSDT"": 2.2881, ""ZROUSDT"": 0.966}",1.341143,-0.00607581,-0.00068172,-51.6153,0.8398,-52.4551,2000.0,352.4359
2024-07-12 00:00,2024-07-12 04:00,TRBUSDT;CRVUSDT;EDUUSDT;JASMYUSDT;ZROUSDT;AVAXUSDT;ONDOUSDT;ATOMUSDT;BTCDOMUSDT;TONUSDT,"{""ATOMUSDT"": -1.3426, ""AVAXUSDT"": -0.277, ""BTCDOMUSDT"": -4.2393, ""CRVUSDT"": 3.9667, ""EDUUSDT"": 2.3054, ""JASMYUSDT"": 2.2861, ""ONDOUSDT"": -0.5836, ""TONUSDT"": -4.9264, ""TRBUSDT"": 4.5708, ""ZROUSDT"": 1.1161}",1.263626,0.00728067,-0.00746916,167.189,0.9907,166.1982,2000.0,775.1617
2024-07-12 04:00,2024-07-12 08:00,BLURUSDT;TRBUSDT;CRVUSDT;ONDOUSDT;JASMYUSDT;ZROUSDT;ATOMUSDT;BTCDOMUSDT;AVAXUSDT;TONUSDT,"{""ATOMUSDT"": 0.4648, ""AVAXUSDT"": -1.3656, ""BLURUSDT"": 3.5299, ""BTCDOMUSDT"": -0.8456, ""CRVUSDT"": 2.3069, ""JASMYUSDT"": 0.7977, ""ONDOUSDT"": 1.0206, ""TONUSDT"": -5.4696, ""TRBUSDT"": 2.9423, ""ZROUSDT"": 0.4699}",1.216817,-0.00140291,0.00323093,-53.3436,0.8811,-54.2247,2000.0,468.0914
2024-07-12 08:00,2024-07-12 12:00,ARKMUSDT;TRBUSDT;JASMYUSDT;CRVUSDT;ONDOUSDT;ZROUSDT;ATOMUSDT;AVAXUSDT;BTCDOMUSDT;TONUSDT,"{""ARKMUSDT"": 3.6883, ""ATOMUSDT"": 0.2653, ""AVAXUSDT"": -0.1812, ""BTCDOMUSDT"": -4.02, ""CRVUSDT"": 1.4541, ""JASMYUSDT"": 1.793, ""ONDOUSDT"": 1.398, ""TONUSDT"": -6.2855, ""TRBUSDT"": 3.0489, ""ZROUSDT"": 0.5308}",1.233072,-0.00732838,0.00205532,-98.6273,0.772,-99.3994,2000.0,162.5443
2024-07-12 12:00,2024-07-12 16:00,1000BONKUSDT;ARKMUSDT;ONDOUSDT;ZROUSDT;JASMYUSDT;CRVUSDT;AVAXUSDT;ATOMUSDT;TONUSDT;BTCDOMUSDT,"{""1000BONKUSDT"": 4.5721, ""ARKMUSDT"": 4.0205, ""ATOMUSDT"": -3.2127, ""AVAXUSDT"": -0.901, ""BTCDOMUSDT"": -7.2745, ""CRVUSDT"": 0.3006, ""JASMYUSDT"": 1.2109, ""ONDOUSDT"": 2.1254, ""TONUSDT"": -5.5667, ""ZROUSDT"": 2.075}",1.29034,0.02524693,0.01748947,26.7957,0.9184,25.8772,2000.0,572.6811
