symbol,trades,longs,shorts,wr_fee,wr_nofee,net,fee,gross,profit_factor,sharpe,max_dd_pct,results
ZK,137,137,0,25.55,34.31,51.0486,98.3708,149.4194,1.1828,0.5776,0.5026,"{""SL"": 119, ""TP"": 18}"
QNT,224,224,0,27.68,37.95,47.0032,162.6926,209.6958,1.1302,0.576,0.4506,"{""SL"": 196, ""TP"": 28}"
SUI,248,248,0,27.02,33.47,46.8206,177.0267,223.8473,1.0807,0.4106,1.2941,"{""SL"": 218, ""TP"": 30}"
SANTOS,34,34,0,38.24,47.06,46.0615,24.6124,70.6739,1.6313,0.8992,0.3751,"{""SL"": 28, ""TP"": 6}"
KAIA,16,16,0,43.75,56.25,41.1575,11.4696,52.6271,3.0692,1.3648,0.0969,"{""SL"": 12, ""TP"": 4}"
ALT,235,235,0,33.62,37.87,40.4267,166.7857,207.2124,1.0775,0.375,1.4573,"{""SL"": 208, ""TP"": 27}"
STX,217,217,0,31.8,38.25,37.783,152.8225,190.6055,1.0873,0.4096,0.9448,"{""SL"": 191, ""TP"": 26}"
BNB,273,273,0,30.04,43.22,37.4239,196.7034,234.1272,1.1329,0.6512,0.3845,"{""SL"": 238, ""TP"": 35}"
AAVE,238,238,0,32.77,36.97,37.2151,170.6292,207.8442,1.0814,0.4278,0.886,"{""SL"": 201, ""TP"": 37}"
LPT,284,284,0,29.23,34.51,35.6484,205.5481,241.1966,1.0541,0.2616,1.2958,"{""SL"": 255, ""TP"": 29}"
AKT,31,31,0,48.39,48.39,33.7309,22.3049,56.0358,1.745,0.9563,0.1744,"{""SL"": 27, ""TP"": 4}"
THETA,237,237,0,26.58,34.18,31.4097,168.9042,200.3139,1.064,0.3084,1.056,"{""SL"": 207, ""TP"": 30}"
IOTA,239,239,0,29.29,36.4,29.8012,172.3937,202.1949,1.0682,0.3194,0.8063,"{""SL"": 213, ""TP"": 26}"
AERO,12,12,0,41.67,41.67,26.5636,8.564,35.1277,2.3035,0.9251,0.1481,"{""SL"": 9, ""TP"": 3}"
EIGEN,59,59,0,30.51,33.9,26.4663,42.5058,68.9721,1.1526,0.3822,0.4192,"{""SL"": 51, ""TP"": 8}"
ETH,277,277,0,30.32,44.04,20.2747,197.7887,218.0634,1.0688,0.3425,0.4145,"{""SL"": 247, ""TP"": 30}"
VIRTUAL,11,11,0,36.36,36.36,16.1313,7.8688,24.0001,1.5058,0.3586,0.1664,"{""SL"": 10, ""TP"": 1}"
AXL,231,231,0,29.0,32.9,15.4992,162.1121,177.6113,1.0325,0.1557,1.2064,"{""SL"": 210, ""TP"": 21}"
ETHFI,209,209,0,27.27,32.06,13.1708,148.4117,161.5825,1.026,0.1381,0.8889,"{""SL"": 184, ""TP"": 25}"
DEXE,3,3,0,100.0,100.0,12.6147,2.1499,14.7646,12614.7048,4.6978,0.0,"{""SL"": 3}"
HIVE,4,4,0,50.0,50.0,10.4631,2.8661,13.3292,1.4284,0.2614,0.1517,"{""SL"": 3, ""TP"": 1}"
AVAX,259,259,0,32.05,41.31,10.3675,186.1572,196.5247,1.0232,0.1363,0.7094,"{""SL"": 228, ""TP"": 31}"
POL,84,84,0,33.33,45.24,8.4643,60.3684,68.8327,1.0648,0.2092,0.6208,"{""SL"": 75, ""TP"": 9}"
FARTCOIN,1,1,0,100.0,100.0,7.8962,0.7171,8.6133,7896.1797,0.0,0.0,"{""SL"": 1}"
RIF,252,252,0,26.19,33.33,7.7175,178.6404,186.3578,1.0159,0.0913,0.6698,"{""SL"": 227, ""TP"": 25}"
ME,9,9,0,33.33,33.33,0.1148,6.4212,6.536,1.0026,0.0081,0.3369,"{""SL"": 7, ""TP"": 2}"
GRASS,36,36,0,16.67,22.22,-3.0907,25.9476,22.8569,0.976,-0.0317,0.7491,"{""SL"": 33, ""TP"": 3}"
ORCA,13,13,0,23.08,23.08,-6.3321,9.2373,2.9052,0.8321,-0.2381,0.3157,"{""SL"": 11, ""TP"": 2}"
XMR,290,290,0,28.28,35.52,-7.3267,208.8013,201.4745,0.9839,-0.0755,1.6933,"{""SL"": 254, ""TP"": 36}"
