Symbol,TF,Trades,Win%,Net P&L,Return%,MaxDD%,Sharpe,ProfitF,AvgTrade
BTCUSDT,M1,132,100.0,"$1,980",+19.8,-817.0,704.13,∞,$15
BTCUSDT,M5,552,100.0,"$8,280",+82.8,-221.5,93.06,∞,$15
ETHUSDT,M1,1442,100.0,"$21,630",+216.3,-402.6,77.46,∞,$15
ETHUSDT,M5,979,100.0,"$14,685",+146.8,-164.1,74.90,∞,$15
SOLUSDT,M1,2280,100.0,"$34,200",+342.0,-100.8,78.56,∞,$15
SOLUSDT,M5,827,100.0,"$12,405",+124.0,-276.5,85.46,∞,$15
PAXGUSDT,M1,37,100.0,$555,+5.5,-395.4,2070.00,∞,$15
PAXGUSDT,M5,206,100.0,"$3,090",+30.9,-147.1,164.12,∞,$15
