trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,BTCUSDT,2024-01-01 12:41:00+00:00,2024-01-01 15:44:00+00:00,LONG,42800.2,42843.0002,1.168219,50.0,35.0,15.0,WIN,10015.0
2,BTCUSDT,2024-01-01 15:45:00+00:00,2024-01-01 18:02:00+00:00,LONG,42885.6,42928.4856,1.165893,50.0,35.0,15.0,WIN,10030.0
3,BTCUSDT,2024-01-01 21:35:00+00:00,2024-01-01 21:37:00+00:00,SHORT,43666.9,43623.2331,1.145032,50.0,35.0,15.0,WIN,10045.0
4,BTCUSDT,2024-01-01 23:05:00+00:00,2024-01-01 23:18:00+00:00,LONG,43738.1,43781.8381,1.143168,50.0,35.0,15.0,WIN,10060.0
5,BTCUSDT,2024-01-02 02:40:00+00:00,2024-01-02 02:40:00+00:00,LONG,45236.8,45282.0368,1.105295,50.0,35.0,15.0,WIN,10075.0
6,BTCUSDT,2024-01-02 04:57:00+00:00,2024-01-02 05:03:00+00:00,SHORT,45221.9,45176.6781,1.105659,50.0,35.0,15.0,WIN,10090.0
7,BTCUSDT,2024-01-02 07:20:00+00:00,2024-01-02 07:23:00+00:00,LONG,45397.9,45443.2979,1.101373,50.0,35.0,15.0,WIN,10105.0
8,BTCUSDT,2024-01-02 09:47:00+00:00,2024-01-02 10:08:00+00:00,SHORT,45705.1,45659.3949,1.09397,50.0,35.0,15.0,WIN,10120.0
9,BTCUSDT,2024-01-02 14:41:00+00:00,2024-01-02 14:47:00+00:00,SHORT,45461.8,45416.3382,1.099824,50.0,35.0,15.0,WIN,10135.0
10,BTCUSDT,2024-01-02 17:54:00+00:00,2024-01-02 18:00:00+00:00,SHORT,45027.6,44982.5724,1.11043,50.0,35.0,15.0,WIN,10150.0
11,BTCUSDT,2024-01-02 19:27:00+00:00,2024-01-02 19:27:00+00:00,SHORT,44920.0,44875.08,1.11309,50.0,35.0,15.0,WIN,10165.0
12,BTCUSDT,2024-01-02 21:55:00+00:00,2024-01-02 21:59:00+00:00,LONG,45074.5,45119.5745,1.109275,50.0,35.0,15.0,WIN,10180.0
13,BTCUSDT,2024-01-03 00:04:00+00:00,2024-01-03 00:07:00+00:00,LONG,45035.8,45080.8358,1.110228,50.0,35.0,15.0,WIN,10195.0
14,BTCUSDT,2024-01-03 00:42:00+00:00,2024-01-03 00:44:00+00:00,LONG,45095.2,45140.2952,1.108765,50.0,35.0,15.0,WIN,10210.0
15,BTCUSDT,2024-01-03 03:24:00+00:00,2024-01-03 03:35:00+00:00,SHORT,45263.3,45218.0367,1.104648,50.0,35.0,15.0,WIN,10225.0
16,BTCUSDT,2024-01-03 05:18:00+00:00,2024-01-03 06:50:00+00:00,LONG,45300.7,45346.0007,1.103736,50.0,35.0,15.0,WIN,10240.0
17,BTCUSDT,2024-01-03 07:45:00+00:00,2024-01-03 07:45:00+00:00,SHORT,45175.0,45129.825,1.106807,50.0,35.0,15.0,WIN,10255.0
18,BTCUSDT,2024-01-03 09:10:00+00:00,2024-01-03 09:13:00+00:00,LONG,45292.3,45337.5923,1.10394,50.0,35.0,15.0,WIN,10270.0
19,BTCUSDT,2024-01-03 10:39:00+00:00,2024-01-03 10:39:00+00:00,SHORT,45188.2,45143.0118,1.106484,50.0,35.0,15.0,WIN,10285.0
20,BTCUSDT,2024-01-03 14:16:00+00:00,2024-01-03 14:16:00+00:00,SHORT,42215.7,42173.4843,1.184393,50.0,35.0,15.0,WIN,10300.0
