trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,SOLUSDT,2024-01-01 12:23:00+00:00,2024-01-01 12:43:00+00:00,LONG,105.064,105.1691,475.900404,50.0,35.0,15.0,WIN,10015.0
2,SOLUSDT,2024-01-01 14:18:00+00:00,2024-01-01 14:21:00+00:00,SHORT,104.951,104.846,476.412802,50.0,35.0,15.0,WIN,10030.0
3,SOLUSDT,2024-01-01 15:28:00+00:00,2024-01-01 15:33:00+00:00,LONG,105.575,105.6806,473.596969,50.0,35.0,15.0,WIN,10045.0
4,SOLUSDT,2024-01-01 17:35:00+00:00,2024-01-01 17:39:00+00:00,SHORT,106.393,106.2866,469.95573,50.0,35.0,15.0,WIN,10060.0
5,SOLUSDT,2024-01-01 18:06:00+00:00,2024-01-01 18:07:00+00:00,LONG,107.777,107.8848,463.920874,50.0,35.0,15.0,WIN,10075.0
6,SOLUSDT,2024-01-01 20:53:00+00:00,2024-01-01 20:54:00+00:00,SHORT,108.072,107.9639,462.654527,50.0,35.0,15.0,WIN,10090.0
7,SOLUSDT,2024-01-01 23:04:00+00:00,2024-01-01 23:25:00+00:00,LONG,108.72,108.8287,459.896983,50.0,35.0,15.0,WIN,10105.0
8,SOLUSDT,2024-01-02 04:32:00+00:00,2024-01-02 04:35:00+00:00,LONG,111.846,111.9578,447.043256,50.0,35.0,15.0,WIN,10120.0
9,SOLUSDT,2024-01-02 06:58:00+00:00,2024-01-02 07:02:00+00:00,LONG,112.922,113.0349,442.783514,50.0,35.0,15.0,WIN,10135.0
10,SOLUSDT,2024-01-02 10:42:00+00:00,2024-01-02 10:42:00+00:00,SHORT,114.87,114.7551,435.274658,50.0,35.0,15.0,WIN,10150.0
11,SOLUSDT,2024-01-02 14:27:00+00:00,2024-01-02 14:31:00+00:00,SHORT,112.253,112.1407,445.422394,50.0,35.0,15.0,WIN,10165.0
12,SOLUSDT,2024-01-02 19:06:00+00:00,2024-01-02 19:14:00+00:00,LONG,108.93,109.0389,459.010374,50.0,35.0,15.0,WIN,10180.0
13,SOLUSDT,2024-01-02 19:28:00+00:00,2024-01-02 19:40:00+00:00,SHORT,107.606,107.4984,464.658105,50.0,35.0,15.0,WIN,10195.0
14,SOLUSDT,2024-01-02 22:03:00+00:00,2024-01-02 22:05:00+00:00,LONG,108.5,108.6085,460.829493,50.0,35.0,15.0,WIN,10210.0
15,SOLUSDT,2024-01-02 23:12:00+00:00,2024-01-02 23:15:00+00:00,SHORT,107.467,107.3595,465.259103,50.0,35.0,15.0,WIN,10225.0
16,SOLUSDT,2024-01-03 01:33:00+00:00,2024-01-03 01:33:00+00:00,SHORT,107.016,106.909,467.219855,50.0,35.0,15.0,WIN,10240.0
17,SOLUSDT,2024-01-03 01:51:00+00:00,2024-01-03 01:51:00+00:00,LONG,108.106,108.2141,462.509019,50.0,35.0,15.0,WIN,10255.0
18,SOLUSDT,2024-01-03 04:20:00+00:00,2024-01-03 04:20:00+00:00,LONG,108.385,108.4934,461.318448,50.0,35.0,15.0,WIN,10270.0
19,SOLUSDT,2024-01-03 07:46:00+00:00,2024-01-03 07:46:00+00:00,SHORT,108.089,107.9809,462.581761,50.0,35.0,15.0,WIN,10285.0
20,SOLUSDT,2024-01-03 09:11:00+00:00,2024-01-03 09:12:00+00:00,LONG,108.731,108.8397,459.850457,50.0,35.0,15.0,WIN,10300.0
21,SOLUSDT,2024-01-03 10:39:00+00:00,2024-01-03 10:39:00+00:00,SHORT,108.199,108.0908,462.11148,50.0,35.0,15.0,WIN,10315.0
22,SOLUSDT,2024-01-03 14:14:00+00:00,2024-01-03 14:15:00+00:00,SHORT,96.988,96.891,515.527694,50.0,35.0,15.0,WIN,10330.0
23,SOLUSDT,2024-01-03 15:18:00+00:00,2024-01-03 15:18:00+00:00,LONG,98.264,98.3623,508.833347,50.0,35.0,15.0,WIN,10345.0
24,SOLUSDT,2024-01-03 17:22:00+00:00,2024-01-03 17:22:00+00:00,SHORT,98.327,98.2287,508.507328,50.0,35.0,15.0,WIN,10360.0
25,SOLUSDT,2024-01-03 20:15:00+00:00,2024-01-03 20:15:00+00:00,LONG,97.868,97.9659,510.892222,50.0,35.0,15.0,WIN,10375.0
26,SOLUSDT,2024-01-03 22:31:00+00:00,2024-01-03 22:31:00+00:00,SHORT,98.8,98.7012,506.072874,50.0,35.0,15.0,WIN,10390.0
27,SOLUSDT,2024-01-04 00:10:00+00:00,2024-01-04 00:14:00+00:00,LONG,99.82,99.9198,500.901623,50.0,35.0,15.0,WIN,10405.0
28,SOLUSDT,2024-01-04 01:27:00+00:00,2024-01-04 01:28:00+00:00,SHORT,98.265,98.1667,508.828169,50.0,35.0,15.0,WIN,10420.0
