trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,PAXGUSDT,2025-03-29 11:55:00+00:00,2025-03-29 13:00:00+00:00,LONG,3104.47,3107.5745,16.105809,50.0,35.0,15.0,WIN,10015.0
2,PAXGUSDT,2025-03-29 20:45:00+00:00,2025-04-03 11:00:00+00:00,SHORT,3106.87,3103.7631,16.093367,50.0,35.0,15.0,WIN,10030.0
3,PAXGUSDT,2025-04-03 22:45:00+00:00,2025-04-03 23:25:00+00:00,LONG,3125.36,3128.4854,15.998157,50.0,35.0,15.0,WIN,10045.0
4,PAXGUSDT,2025-04-04 02:10:00+00:00,2025-04-04 02:20:00+00:00,SHORT,3117.39,3114.2726,16.039058,50.0,35.0,15.0,WIN,10060.0
5,PAXGUSDT,2025-04-05 22:25:00+00:00,2025-04-09 09:45:00+00:00,LONG,3066.09,3069.1561,16.307414,50.0,35.0,15.0,WIN,10075.0
6,PAXGUSDT,2025-04-10 00:35:00+00:00,2025-04-10 02:05:00+00:00,LONG,3113.08,3116.1931,16.061264,50.0,35.0,15.0,WIN,10090.0
7,PAXGUSDT,2025-04-11 10:10:00+00:00,2025-04-11 10:10:00+00:00,LONG,3256.15,3259.4061,15.355558,50.0,35.0,15.0,WIN,10105.0
8,PAXGUSDT,2025-04-11 23:55:00+00:00,2025-04-12 00:10:00+00:00,LONG,3263.53,3266.7935,15.320834,50.0,35.0,15.0,WIN,10120.0
9,PAXGUSDT,2025-04-12 09:50:00+00:00,2025-04-12 10:35:00+00:00,SHORT,3280.28,3276.9997,15.242601,50.0,35.0,15.0,WIN,10135.0
10,PAXGUSDT,2025-04-13 06:25:00+00:00,2025-04-13 06:30:00+00:00,LONG,3247.71,3250.9577,15.395463,50.0,35.0,15.0,WIN,10150.0
11,PAXGUSDT,2025-04-13 15:45:00+00:00,2025-04-13 15:45:00+00:00,LONG,3256.43,3259.6864,15.354238,50.0,35.0,15.0,WIN,10165.0
12,PAXGUSDT,2025-04-13 22:35:00+00:00,2025-04-13 22:35:00+00:00,SHORT,3244.81,3241.5652,15.409223,50.0,35.0,15.0,WIN,10180.0
13,PAXGUSDT,2025-04-14 01:55:00+00:00,2025-04-14 02:00:00+00:00,LONG,3262.71,3265.9727,15.324684,50.0,35.0,15.0,WIN,10195.0
14,PAXGUSDT,2025-04-14 08:40:00+00:00,2025-04-14 08:40:00+00:00,SHORT,3247.04,3243.793,15.39864,50.0,35.0,15.0,WIN,10210.0
15,PAXGUSDT,2025-04-14 20:00:00+00:00,2025-04-14 23:55:00+00:00,LONG,3232.3,3235.5323,15.468861,50.0,35.0,15.0,WIN,10225.0
16,PAXGUSDT,2025-04-15 17:55:00+00:00,2025-04-15 22:00:00+00:00,LONG,3245.03,3248.275,15.408178,50.0,35.0,15.0,WIN,10240.0
17,PAXGUSDT,2025-04-17 02:10:00+00:00,2025-04-17 02:30:00+00:00,SHORT,3350.47,3347.1195,14.923279,50.0,35.0,15.0,WIN,10255.0
18,PAXGUSDT,2025-04-17 21:15:00+00:00,2025-04-17 23:15:00+00:00,LONG,3339.7,3343.0397,14.971405,50.0,35.0,15.0,WIN,10270.0
19,PAXGUSDT,2025-04-18 19:50:00+00:00,2025-04-18 20:50:00+00:00,SHORT,3353.3,3349.9467,14.910685,50.0,35.0,15.0,WIN,10285.0
20,PAXGUSDT,2025-04-18 21:25:00+00:00,2025-04-19 01:40:00+00:00,SHORT,3349.58,3346.2304,14.927245,50.0,35.0,15.0,WIN,10300.0
21,PAXGUSDT,2025-04-19 16:15:00+00:00,2025-04-19 17:40:00+00:00,LONG,3348.8,3352.1488,14.930721,50.0,35.0,15.0,WIN,10315.0
22,PAXGUSDT,2025-04-20 09:30:00+00:00,2025-04-20 11:35:00+00:00,LONG,3350.96,3354.311,14.921097,50.0,35.0,15.0,WIN,10330.0
23,PAXGUSDT,2025-04-20 16:40:00+00:00,2025-04-22 22:05:00+00:00,SHORT,3348.2,3344.8518,14.933397,50.0,35.0,15.0,WIN,10345.0
24,PAXGUSDT,2025-04-23 06:25:00+00:00,2025-04-23 06:40:00+00:00,SHORT,3342.5,3339.1575,14.958863,50.0,35.0,15.0,WIN,10360.0
25,PAXGUSDT,2025-04-24 11:15:00+00:00,2025-04-24 11:20:00+00:00,LONG,3354.33,3357.6843,14.906106,50.0,35.0,15.0,WIN,10375.0
26,PAXGUSDT,2025-04-24 14:10:00+00:00,2025-04-25 05:40:00+00:00,SHORT,3325.16,3321.8348,15.03687,50.0,35.0,15.0,WIN,10390.0
27,PAXGUSDT,2025-04-25 20:20:00+00:00,2025-04-25 20:20:00+00:00,LONG,3305.4,3308.7054,15.126762,50.0,35.0,15.0,WIN,10405.0
28,PAXGUSDT,2025-04-26 08:45:00+00:00,2025-04-26 09:05:00+00:00,SHORT,3307.33,3304.0227,15.117935,50.0,35.0,15.0,WIN,10420.0
29,PAXGUSDT,2025-04-26 15:10:00+00:00,2025-04-27 04:55:00+00:00,LONG,3316.15,3319.4661,15.077726,50.0,35.0,15.0,WIN,10435.0
30,PAXGUSDT,2025-04-27 05:15:00+00:00,2025-04-27 15:25:00+00:00,LONG,3318.16,3321.4782,15.068592,50.0,35.0,15.0,WIN,10450.0
31,PAXGUSDT,2025-04-27 15:45:00+00:00,2025-04-27 16:30:00+00:00,LONG,3322.25,3325.5722,15.050041,50.0,35.0,15.0,WIN,10465.0
32,PAXGUSDT,2025-04-27 22:50:00+00:00,2025-04-27 23:00:00+00:00,SHORT,3318.47,3315.1515,15.067185,50.0,35.0,15.0,WIN,10480.0
