trade_no,symbol,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
1,SOLUSDT,2024-01-03 04:20:00+00:00,2024-01-03 04:20:00+00:00,LONG,108.385,108.4934,461.318448,50.0,35.0,15.0,WIN,10015.0
2,SOLUSDT,2024-01-03 11:05:00+00:00,2024-01-03 11:05:00+00:00,SHORT,107.001,106.894,467.285352,50.0,35.0,15.0,WIN,10030.0
3,SOLUSDT,2024-01-03 20:55:00+00:00,2024-01-03 20:55:00+00:00,LONG,99.316,99.4153,503.443554,50.0,35.0,15.0,WIN,10045.0
4,SOLUSDT,2024-01-04 08:00:00+00:00,2024-01-04 08:05:00+00:00,SHORT,98.924,98.8251,505.438518,50.0,35.0,15.0,WIN,10060.0
5,SOLUSDT,2024-01-04 14:45:00+00:00,2024-01-04 14:45:00+00:00,LONG,100.945,101.0459,495.319233,50.0,35.0,15.0,WIN,10075.0
6,SOLUSDT,2024-01-05 02:00:00+00:00,2024-01-05 02:00:00+00:00,SHORT,101.021,100.92,494.946595,50.0,35.0,15.0,WIN,10090.0
7,SOLUSDT,2024-01-05 09:40:00+00:00,2024-01-05 09:55:00+00:00,LONG,102.396,102.4984,488.300324,50.0,35.0,15.0,WIN,10105.0
8,SOLUSDT,2024-01-05 12:00:00+00:00,2024-01-05 12:00:00+00:00,SHORT,99.633,99.5334,501.841759,50.0,35.0,15.0,WIN,10120.0
9,SOLUSDT,2024-01-05 22:10:00+00:00,2024-01-05 23:05:00+00:00,LONG,99.798,99.8978,501.012044,50.0,35.0,15.0,WIN,10135.0
10,SOLUSDT,2024-01-06 05:00:00+00:00,2024-01-06 05:00:00+00:00,SHORT,97.364,97.2666,513.536831,50.0,35.0,15.0,WIN,10150.0
11,SOLUSDT,2024-01-06 21:15:00+00:00,2024-01-06 22:30:00+00:00,SHORT,93.716,93.6223,533.526826,50.0,35.0,15.0,WIN,10165.0
12,SOLUSDT,2024-01-07 12:55:00+00:00,2024-01-07 12:55:00+00:00,LONG,94.89,94.9849,526.925914,50.0,35.0,15.0,WIN,10180.0
13,SOLUSDT,2024-01-08 06:35:00+00:00,2024-01-08 06:35:00+00:00,LONG,89.877,89.9669,556.315854,50.0,35.0,15.0,WIN,10195.0
14,SOLUSDT,2024-01-09 03:45:00+00:00,2024-01-09 03:45:00+00:00,LONG,98.942,99.0409,505.346567,50.0,35.0,15.0,WIN,10210.0
15,SOLUSDT,2024-01-10 07:20:00+00:00,2024-01-10 07:25:00+00:00,SHORT,98.303,98.2047,508.631476,50.0,35.0,15.0,WIN,10225.0
16,SOLUSDT,2024-01-11 10:25:00+00:00,2024-01-11 10:25:00+00:00,LONG,102.04,102.142,490.00392,50.0,35.0,15.0,WIN,10240.0
17,SOLUSDT,2024-01-11 16:30:00+00:00,2024-01-11 16:30:00+00:00,SHORT,98.671,98.5723,506.734502,50.0,35.0,15.0,WIN,10255.0
18,SOLUSDT,2024-01-12 01:20:00+00:00,2024-01-12 01:20:00+00:00,SHORT,98.81,98.7112,506.021658,50.0,35.0,15.0,WIN,10270.0
19,SOLUSDT,2024-01-13 05:30:00+00:00,2024-01-13 05:45:00+00:00,LONG,92.133,92.2251,542.693715,50.0,35.0,15.0,WIN,10285.0
20,SOLUSDT,2024-01-13 17:35:00+00:00,2024-01-13 17:45:00+00:00,LONG,92.636,92.7286,539.746967,50.0,35.0,15.0,WIN,10300.0
21,SOLUSDT,2024-01-14 12:45:00+00:00,2024-01-14 12:45:00+00:00,SHORT,97.038,96.941,515.262062,50.0,35.0,15.0,WIN,10315.0
22,SOLUSDT,2024-01-14 14:50:00+00:00,2024-01-14 14:50:00+00:00,LONG,98.529,98.6275,507.464807,50.0,35.0,15.0,WIN,10330.0
23,SOLUSDT,2024-01-14 21:05:00+00:00,2024-01-14 21:05:00+00:00,SHORT,96.66,96.5633,517.277054,50.0,35.0,15.0,WIN,10345.0
24,SOLUSDT,2024-01-15 08:30:00+00:00,2024-01-15 08:50:00+00:00,SHORT,95.179,95.0838,525.325965,50.0,35.0,15.0,WIN,10360.0
25,SOLUSDT,2024-01-15 18:30:00+00:00,2024-01-15 18:30:00+00:00,LONG,96.379,96.4754,518.785213,50.0,35.0,15.0,WIN,10375.0
26,SOLUSDT,2024-01-16 04:05:00+00:00,2024-01-16 04:05:00+00:00,LONG,95.847,95.9428,521.664737,50.0,35.0,15.0,WIN,10390.0
27,SOLUSDT,2024-01-16 14:40:00+00:00,2024-01-16 14:40:00+00:00,SHORT,95.0,94.905,526.315789,50.0,35.0,15.0,WIN,10405.0
28,SOLUSDT,2024-01-17 08:00:00+00:00,2024-01-17 08:00:00+00:00,SHORT,97.366,97.2686,513.526282,50.0,35.0,15.0,WIN,10420.0
29,SOLUSDT,2024-01-17 10:40:00+00:00,2024-01-17 10:40:00+00:00,LONG,101.2,101.3012,494.071146,50.0,35.0,15.0,WIN,10435.0
30,SOLUSDT,2024-01-17 17:10:00+00:00,2024-01-17 17:10:00+00:00,SHORT,98.021,97.923,510.094776,50.0,35.0,15.0,WIN,10450.0
